epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,782.346,1.41744,1.45055,1.75465,0.81848,0.72232,0.81178,0.4779,1.46854,1.15487,1.79479,0.0004456,0.0004456,0.0004456
58,797.415,1.43075,1.47973,1.76707,0.7538,0.7504,0.80213,0.46122,1.41428,1.16036,1.75293,0.0004357,0.0004357,0.0004357
59,809.609,1.42379,1.44746,1.76717,0.82726,0.65957,0.71855,0.42253,1.50516,1.24431,1.79745,0.0004258,0.0004258,0.0004258
60,821.886,1.40021,1.42758,1.74209,0.76552,0.74081,0.77602,0.47165,1.44558,1.11654,1.77157,0.0004159,0.0004159,0.0004159
61,836.44,1.42224,1.47758,1.76803,0.65968,0.76563,0.76752,0.48385,1.43859,1.17166,1.74436,0.000406,0.000406,0.000406
62,847.744,1.40504,1.44634,1.74984,0.63968,0.8248,0.80863,0.49697,1.46393,1.14563,1.78886,0.0003961,0.0003961,0.0003961
63,859.233,1.42495,1.44948,1.76983,0.58957,0.63175,0.64646,0.31298,1.77229,1.56191,2.08979,0.0003862,0.0003862,0.0003862
64,873.914,1.39927,1.44229,1.75265,0.62673,0.80435,0.76593,0.44859,1.50105,1.18885,1.81154,0.0003763,0.0003763,0.0003763
65,886.317,1.37978,1.39926,1.72844,0.63734,0.78954,0.78497,0.4415,1.57924,1.23984,1.86392,0.0003664,0.0003664,0.0003664
66,898.649,1.40504,1.43794,1.74909,0.70321,0.65784,0.71274,0.36969,1.64996,1.35234,1.93473,0.0003565,0.0003565,0.0003565
67,914.216,1.3753,1.40612,1.72705,0.71702,0.7623,0.81354,0.50616,1.3877,1.15266,1.71844,0.0003466,0.0003466,0.0003466
68,926.547,1.38369,1.37884,1.73088,0.62566,0.7718,0.77438,0.4596,1.39861,1.20196,1.73765,0.0003367,0.0003367,0.0003367
69,938.635,1.40175,1.43201,1.74333,0.66481,0.70443,0.7614,0.46079,1.43494,1.12369,1.73724,0.0003268,0.0003268,0.0003268
70,954.144,1.37982,1.41404,1.7303,0.80624,0.70496,0.76241,0.4534,1.49529,1.21372,1.78848,0.0003169,0.0003169,0.0003169
71,966.592,1.37432,1.38561,1.7255,0.82457,0.63489,0.76601,0.46211,1.46634,1.17536,1.78549,0.000307,0.000307,0.000307
72,979.069,1.37232,1.38154,1.7236,0.70514,0.76278,0.79677,0.48244,1.48257,1.18242,1.79233,0.0002971,0.0002971,0.0002971
